   MEMB, DISTANCE,  FY MAX,FY MIN,    MZ Max,MZ MIN,,
2,0,113.97,75.98,90.34,60.23,,0
,0.54,94.98,63.23,34.12,22.75,,0
,1.08,75.98,50.65,-11.87,-7.91,,0
,1.61,56.99,37.99,-47.64,-31.76,,0
,2.15,37.99,25.33,-73.2,-48.8,,0
,2.69,19,12.66,-88.53,-59.02,,0
,3.23,0,0,-93.6,-62.43,,0
,3.77,-19,-12.66,-88.53,-59.02,,0
,4.3,-37.99,-25.33,-73.2,-48.8,,0
,4.84,-56.99,-37.99,-47.64,-31.76,,0
,5.38,-75.98,-50.65,-11.87,-7.91,,0
,5.92,-94.98,-63.32,34.12,22.75,,0
,6.46,-113.97,-75.98,90.34,60.23,,0
