   MEMB, DISTANCE,  FY MAX,FY MIN,    MZ Max,MZ MIN,,
2,0,39.62,26.42,40.34,26.9,,0
,0.54,36.77,24.51,19.79,13.19,,0
,1.08,33.92,22.6,0.76,0.51,,0
,1.61,31.06,20.71,-16.73,-11.15,,0
,2.15,28.21,18.81,-32.67,-21.79,,0
,2.69,25.35,16.9,-47.1,-31.4,,0
,3.23,22.5,15,-59.98,-39.99,,0
,3.77,-25.35,-16.9,-47.1,-31.4,,0
,4.3,-28.21,-18.81,-32.67,-21.79,,0
,4.84,-31.06,-20.71,-16.73,-11.15,,0
,5.38,-33.92,-22.6,0.76,0.51,,0
,5.92,-36.77,-24.51,19.79,13.19,,0
,6.46,-39.62,-26.42,40.34,26.9,,0
